timestamp,building_id,meter,meter_reading,site_id,primary_use,square_feet,year_built,floor_count
2016-05-14 19:00:00,157.0,0.0,92.53,2.0,Office,5258.0,1968.0,
2016-05-14 20:00:00,157.0,0.0,99.23,2.0,Office,5258.0,1968.0,
2016-05-14 21:00:00,157.0,0.0,90.97,2.0,Office,5258.0,1968.0,
2016-05-14 22:00:00,157.0,0.0,94.92,2.0,Office,5258.0,1968.0,
2016-05-14 23:00:00,157.0,0.0,83.92,2.0,Office,5258.0,1968.0,
2016-05-15 00:00:00,157.0,0.0,42.5,2.0,Office,5258.0,1968.0,
2016-05-15 01:00:00,157.0,0.0,41.45,2.0,Office,5258.0,1968.0,
2016-05-15 02:00:00,157.0,0.0,40.47,2.0,Office,5258.0,1968.0,
2016-05-15 03:00:00,157.0,0.0,40.26,2.0,Office,5258.0,1968.0,
2016-05-15 04:00:00,157.0,0.0,40.3,2.0,Office,5258.0,1968.0,
2016-05-15 05:00:00,157.0,0.0,70.94,2.0,Office,5258.0,1968.0,
2016-05-15 06:00:00,157.0,0.0,84.38,2.0,Office,5258.0,1968.0,
2016-05-15 07:00:00,157.0,0.0,81.23,2.0,Office,5258.0,1968.0,
2016-05-15 08:00:00,157.0,0.0,74.97,2.0,Office,5258.0,1968.0,
2016-05-15 09:00:00,157.0,0.0,82.89,2.0,Office,5258.0,1968.0,
2016-05-15 10:00:00,157.0,0.0,85.76,2.0,Office,5258.0,1968.0,
2016-05-15 11:00:00,157.0,0.0,84.96,2.0,Office,5258.0,1968.0,
2016-05-15 12:00:00,157.0,0.0,92.53,2.0,Office,5258.0,1968.0,
2016-05-15 13:00:00,157.0,0.0,93.42,2.0,Office,5258.0,1968.0,
2016-05-15 14:00:00,157.0,0.0,96.71,2.0,Office,5258.0,1968.0,
2016-05-15 15:00:00,157.0,0.0,97.91,2.0,Office,5258.0,1968.0,
2016-05-15 16:00:00,157.0,0.0,93.9,2.0,Office,5258.0,1968.0,
2016-05-15 17:00:00,157.0,0.0,94.11,2.0,Office,5258.0,1968.0,
2016-05-15 18:00:00,157.0,0.0,93.58,2.0,Office,5258.0,1968.0,
2016-05-15 19:00:00,157.0,0.0,92.42,2.0,Office,5258.0,1968.0,
2016-05-15 20:00:00,157.0,0.0,97.63,2.0,Office,5258.0,1968.0,
2016-05-15 21:00:00,157.0,0.0,89.02,2.0,Office,5258.0,1968.0,
2016-05-15 22:00:00,157.0,0.0,96.53,2.0,Office,5258.0,1968.0,
2016-05-15 23:00:00,157.0,0.0,83.66,2.0,Office,5258.0,1968.0,
2016-05-16 00:00:00,157.0,0.0,43.78,2.0,Office,5258.0,1968.0,
2016-05-16 01:00:00,157.0,0.0,21.37,2.0,Office,5258.0,1968.0,
2016-05-16 02:00:00,157.0,0.0,31.41,2.0,Office,5258.0,1968.0,
2016-05-16 03:00:00,157.0,0.0,9.9,2.0,Office,5258.0,1968.0,
2016-05-16 04:00:00,157.0,0.0,19.57,2.0,Office,5258.0,1968.0,
2016-05-16 05:00:00,157.0,0.0,46.42,2.0,Office,5258.0,1968.0,
2016-05-16 06:00:00,157.0,0.0,60.75,2.0,Office,5258.0,1968.0,
2016-05-16 07:00:00,157.0,0.0,102.55,2.0,Office,5258.0,1968.0,
2016-05-16 08:00:00,157.0,0.0,107.1,2.0,Office,5258.0,1968.0,
2016-05-16 09:00:00,157.0,0.0,105.23,2.0,Office,5258.0,1968.0,
2016-05-16 10:00:00,157.0,0.0,139.27,2.0,Office,5258.0,1968.0,
2016-05-16 11:00:00,157.0,0.0,130.94,2.0,Office,5258.0,1968.0,
2016-05-16 12:00:00,157.0,0.0,128.58,2.0,Office,5258.0,1968.0,
2016-05-16 13:00:00,157.0,0.0,136.32,2.0,Office,5258.0,1968.0,
2016-05-16 14:00:00,157.0,0.0,136.43,2.0,Office,5258.0,1968.0,
2016-05-16 15:00:00,157.0,0.0,134.56,2.0,Office,5258.0,1968.0,
2016-05-16 16:00:00,157.0,0.0,136.63,2.0,Office,5258.0,1968.0,
2016-05-16 17:00:00,157.0,0.0,123.55,2.0,Office,5258.0,1968.0,
2016-05-16 18:00:00,157.0,0.0,126.34,2.0,Office,5258.0,1968.0,
2016-05-16 19:00:00,157.0,0.0,114.84,2.0,Office,5258.0,1968.0,
2016-05-16 20:00:00,157.0,0.0,106.76,2.0,Office,5258.0,1968.0,
2016-05-16 21:00:00,157.0,0.0,114.67,2.0,Office,5258.0,1968.0,
2016-05-16 22:00:00,157.0,0.0,102.69,2.0,Office,5258.0,1968.0,
2016-05-16 23:00:00,157.0,0.0,89.77,2.0,Office,5258.0,1968.0,
2016-05-17 00:00:00,157.0,0.0,45.49,2.0,Office,5258.0,1968.0,
2016-05-17 01:00:00,157.0,0.0,44.2,2.0,Office,5258.0,1968.0,
2016-05-17 02:00:00,157.0,0.0,42.58,2.0,Office,5258.0,1968.0,
2016-05-17 03:00:00,157.0,0.0,41.27,2.0,Office,5258.0,1968.0,
2016-05-17 04:00:00,157.0,0.0,41.31,2.0,Office,5258.0,1968.0,
2016-05-17 05:00:00,157.0,0.0,53.38,2.0,Office,5258.0,1968.0,
2016-05-17 06:00:00,157.0,0.0,55.62,2.0,Office,5258.0,1968.0,
2016-05-17 07:00:00,157.0,0.0,97.68,2.0,Office,5258.0,1968.0,
2016-05-17 08:00:00,157.0,0.0,111.34,2.0,Office,5258.0,1968.0,
2016-05-17 09:00:00,157.0,0.0,116.41,2.0,Office,5258.0,1968.0,
2016-05-17 10:00:00,157.0,0.0,114.95,2.0,Office,5258.0,1968.0,
2016-05-17 11:00:00,157.0,0.0,123.64,2.0,Office,5258.0,1968.0,
2016-05-17 12:00:00,157.0,0.0,126.26,2.0,Office,5258.0,1968.0,
2016-05-17 13:00:00,157.0,0.0,128.38,2.0,Office,5258.0,1968.0,
2016-05-17 14:00:00,157.0,0.0,127.29,2.0,Office,5258.0,1968.0,
2016-05-17 15:00:00,157.0,0.0,118.22,2.0,Office,5258.0,1968.0,
2016-05-17 16:00:00,157.0,0.0,121.56,2.0,Office,5258.0,1968.0,
2016-05-17 17:00:00,157.0,0.0,119.86,2.0,Office,5258.0,1968.0,
2016-05-17 18:00:00,157.0,0.0,107.5,2.0,Office,5258.0,1968.0,
2016-05-17 19:00:00,157.0,0.0,106.52,2.0,Office,5258.0,1968.0,
2016-05-17 20:00:00,157.0,0.0,100.44,2.0,Office,5258.0,1968.0,
2016-05-17 21:00:00,157.0,0.0,106.75,2.0,Office,5258.0,1968.0,
2016-05-17 22:00:00,157.0,0.0,92.88,2.0,Office,5258.0,1968.0,
2016-05-17 23:00:00,157.0,0.0,88.04,2.0,Office,5258.0,1968.0,
2016-05-18 00:00:00,157.0,0.0,40.35,2.0,Office,5258.0,1968.0,
2016-05-18 01:00:00,157.0,0.0,38.44,2.0,Office,5258.0,1968.0,
2016-05-18 02:00:00,157.0,0.0,38.32,2.0,Office,5258.0,1968.0,
2016-05-18 03:00:00,157.0,0.0,38.42,2.0,Office,5258.0,1968.0,
2016-05-18 04:00:00,157.0,0.0,37.77,2.0,Office,5258.0,1968.0,
2016-05-18 05:00:00,157.0,0.0,72.32,2.0,Office,5258.0,1968.0,
2016-05-18 06:00:00,157.0,0.0,86.83,2.0,Office,5258.0,1968.0,
2016-05-18 07:00:00,157.0,0.0,82.74,2.0,Office,5258.0,1968.0,
2016-05-18 08:00:00,157.0,0.0,99.62,2.0,Office,5258.0,1968.0,
2016-05-18 09:00:00,157.0,0.0,107.22,2.0,Office,5258.0,1968.0,
2016-05-18 10:00:00,157.0,0.0,122.9,2.0,Office,5258.0,1968.0,
2016-05-18 11:00:00,157.0,0.0,128.8,2.0,Office,5258.0,1968.0,
2016-05-18 12:00:00,157.0,0.0,128.58,2.0,Office,5258.0,1968.0,
2016-05-18 13:00:00,157.0,0.0,127.62,2.0,Office,5258.0,1968.0,
2016-05-18 14:00:00,157.0,0.0,133.5,2.0,Office,5258.0,1968.0,
2016-05-18 15:00:00,157.0,0.0,128.97,2.0,Office,5258.0,1968.0,
2016-05-18 16:00:00,157.0,0.0,128.7,2.0,Office,5258.0,1968.0,
2016-05-18 17:00:00,157.0,0.0,117.12,2.0,Office,5258.0,1968.0,
2016-05-18 18:00:00,157.0,0.0,118.21,2.0,Office,5258.0,1968.0,
2016-05-18 19:00:00,157.0,0.0,103.34,2.0,Office,5258.0,1968.0,
2016-05-18 20:00:00,157.0,0.0,113.19,2.0,Office,5258.0,1968.0,
2016-05-18 21:00:00,157.0,0.0,105.21,2.0,Office,5258.0,1968.0,
2016-05-18 22:00:00,157.0,0.0,96.9,2.0,Office,5258.0,1968.0,
2016-05-18 23:00:00,157.0,0.0,91.03,2.0,Office,5258.0,1968.0,
2016-05-19 00:00:00,157.0,0.0,44.95,2.0,Office,5258.0,1968.0,
2016-05-19 01:00:00,157.0,0.0,45.87,2.0,Office,5258.0,1968.0,
2016-05-19 02:00:00,157.0,0.0,43.65,2.0,Office,5258.0,1968.0,
2016-05-19 03:00:00,157.0,0.0,42.3,2.0,Office,5258.0,1968.0,
2016-05-19 04:00:00,157.0,0.0,42.1,2.0,Office,5258.0,1968.0,
2016-05-19 05:00:00,157.0,0.0,53.6,2.0,Office,5258.0,1968.0,
2016-05-19 06:00:00,157.0,0.0,62.15,2.0,Office,5258.0,1968.0,
2016-05-19 07:00:00,157.0,0.0,102.93,2.0,Office,5258.0,1968.0,
2016-05-19 08:00:00,157.0,0.0,108.06,2.0,Office,5258.0,1968.0,
2016-05-19 09:00:00,157.0,0.0,110.69,2.0,Office,5258.0,1968.0,
2016-05-19 10:00:00,157.0,0.0,116.89,2.0,Office,5258.0,1968.0,
2016-05-19 11:00:00,157.0,0.0,125.05,2.0,Office,5258.0,1968.0,
2016-05-19 12:00:00,157.0,0.0,127.88,2.0,Office,5258.0,1968.0,
2016-05-19 13:00:00,157.0,0.0,126.43,2.0,Office,5258.0,1968.0,
2016-05-19 14:00:00,157.0,0.0,136.22,2.0,Office,5258.0,1968.0,
2016-05-19 15:00:00,157.0,0.0,134.08,2.0,Office,5258.0,1968.0,
2016-05-19 16:00:00,157.0,0.0,136.61,2.0,Office,5258.0,1968.0,
2016-05-19 17:00:00,157.0,0.0,126.26,2.0,Office,5258.0,1968.0,
2016-05-19 18:00:00,157.0,0.0,118.61,2.0,Office,5258.0,1968.0,
2016-05-19 19:00:00,157.0,0.0,108.46,2.0,Office,5258.0,1968.0,
2016-05-19 20:00:00,157.0,0.0,115.78,2.0,Office,5258.0,1968.0,
2016-05-19 21:00:00,157.0,0.0,101.47,2.0,Office,5258.0,1968.0,
2016-05-19 22:00:00,157.0,0.0,104.5,2.0,Office,5258.0,1968.0,
2016-05-19 23:00:00,157.0,0.0,88.54,2.0,Office,5258.0,1968.0,
2016-05-20 00:00:00,157.0,0.0,37.86,2.0,Office,5258.0,1968.0,
2016-05-20 01:00:00,157.0,0.0,37.25,2.0,Office,5258.0,1968.0,
2016-05-20 02:00:00,157.0,0.0,36.5,2.0,Office,5258.0,1968.0,
