timestamp,meter_reading,site_id,air_temperature,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
2016-01-01 00:00:00,59.41623913043478,2.0,15.6,-5.6,0.0,1015.3,270.0,3.6
2016-01-01 01:00:00,59.29987826086955,2.0,13.9,-5.6,0.0,1015.6,270.0,4.1
2016-01-01 02:00:00,60.38012173913042,2.0,13.3,-5.6,0.0,1016.0,270.0,3.1
2016-01-01 03:00:00,62.48230217391306,2.0,12.2,-6.1,0.0,1016.6,280.0,3.1
2016-01-01 04:00:00,64.02320652173914,2.0,11.7,-6.7,0.0,1017.0,270.0,3.1
2016-01-01 05:00:00,65.3509847826087,2.0,10.0,-6.7,0.0,1017.2,260.0,1.5
2016-01-01 06:00:00,66.85881739130437,2.0,9.4,-6.1,0.0,1017.4,0.0,0.0
2016-01-01 07:00:00,68.84231521739129,2.0,7.2,-5.6,0.0,1017.3,0.0,0.0
2016-01-01 08:00:00,66.18277173913042,2.0,7.2,-6.7,0.0,1017.0,50.0,1.5
2016-01-01 09:00:00,63.3742956521739,2.0,6.1,-5.0,0.0,1016.9,0.0,0.0
2016-01-01 10:00:00,62.08639347826087,2.0,5.0,-5.6,0.0,1017.4,0.0,0.0
2016-01-01 11:00:00,59.81028478260869,2.0,4.4,-5.6,0.0,1017.2,0.0,0.0
2016-01-01 12:00:00,59.24974782608695,2.0,4.4,-5.0,0.0,1017.4,0.0,0.0
2016-01-01 13:00:00,59.18675,2.0,2.8,-5.0,0.0,1018.0,0.0,0.0
2016-01-01 14:00:00,60.82594347826087,2.0,3.3,-5.0,0.0,1018.9,0.0,0.0
2016-01-01 15:00:00,62.030065217391304,2.0,3.3,-3.9,0.0,1019.4,0.0,0.0
2016-01-01 16:00:00,61.63214347826087,2.0,5.6,-2.8,0.0,1020.0,100.0,1.5
2016-01-01 17:00:00,58.38829787234044,2.0,8.3,-3.3,0.0,1020.5,0.0,0.0
2016-01-01 18:00:00,58.49455652173911,2.0,10.6,-4.4,0.0,1020.5,0.0,0.0
2016-01-01 19:00:00,59.03787608695652,2.0,12.2,-3.9,0.0,1019.8,0.0,0.0
2016-01-01 20:00:00,58.74785869565218,2.0,14.4,-3.3,0.0,1018.5,0.0,0.0
2016-01-01 21:00:00,56.01163695652174,2.0,16.7,-1.7,0.0,1017.7,0.0,0.0
2016-01-01 22:00:00,54.43848260869565,2.0,17.8,-1.1,0.0,1017.4,0.0,0.0
2016-01-01 23:00:00,53.72302173913044,2.0,18.9,-0.6,0.0,1017.4,0.0,0.0
2016-01-02 00:00:00,54.28013913043477,2.0,18.3,-0.6,0.0,1017.7,270.0,2.6
